purchase_dow,purchase_month,year,product_size_cm3,product_weight_g,geolocation_state_customer,geolocation_state_seller,distance,wait_time_in_days
4,2,2018,5046,498,4,18,89.38542567891183,8
0,4,2017,30371,6302,16,14,523.1615027196623,6
4,5,2018,26676,7922,12,11,667.5415237386194,9
2,3,2017,50638,16900,3,14,370.9285517624953,8
0,1,2018,20947,885,10,23,545.4364478955713,8
6,7,2017,83284,520,10,18,245.62614117870487,10
1,8,2018,30654,1808,18,27,37.75763747651931,4
4,2,2017,94731,12945,4,11,302.76015183225854,10
0,12,2017,10574,5269,1,21,29.496609020603504,4
0,11,2018,50348,712,16,9,562.7217328979148,13
0,1,2017,88112,19171,14,19,115.13255661739633,5
3,1,2018,76598,17793,2,26,545.0673265273485,12
3,5,2018,24491,9294,14,11,628.4398082820119,13
4,3,2017,83756,5137,20,27,254.68935944669573,10
3,5,2018,34590,9790,2,4,566.4531208915026,7
4,10,2018,68307,7539,25,1,694.6314801224961,19
0,4,2017,2473,19123,12,19,961.468883363713,10
5,10,2018,95965,1819,17,3,969.9653595876568,11
3,5,2018,71447,2840,15,22,583.5072398389048,10
5,8,2018,82371,14086,26,4,757.299366167096,17
6,7,2018,33342,10767,5,21,603.1424035215027,16
1,12,2018,88731,7860,23,27,978.1936458334644,3
6,3,2017,4291,6168,22,21,627.3761568185733,9
1,9,2017,38946,6945,10,7,734.936007596553,4
4,9,2017,97719,14193,5,25,856.0623620016249,17
3,9,2017,1902,9240,2,7,282.7990729331102,4
1,12,2018,63560,11731,21,22,444.67715163697864,10
6,7,2018,65633,11762,5,2,911.783839771612,18
1,3,2017,98220,15683,8,12,499.68534139849027,3
0,6,2018,60826,944,4,12,203.81384509637718,9
5,5,2017,24866,4492,7,7,619.6818430619094,8
0,5,2017,17669,14384,24,3,682.3283551383905,12
6,11,2017,47441,16066,8,27,575.2816955367982,11
4,11,2017,21435,1956,24,4,352.59032200076314,19
2,4,2017,7591,19277,24,18,262.5263630842574,11
3,11,2018,7687,8096,13,18,641.5824777712223,14
3,2,2018,49091,3061,18,25,439.6243885812013,8
1,10,2018,84467,6009,2,23,475.60568734001583,11
6,10,2017,48853,14206,5,13,781.2442229152887,13
5,2,2017,68531,11054,22,17,607.9945680229138,11
4,11,2018,63342,16682,24,1,166.68962959044745,16
5,7,2018,21647,11699,6,23,536.0584612495026,14
2,7,2017,67201,4668,20,20,598.724566222655,7
6,10,2018,31233,10957,25,13,296.72915096404995,10
1,6,2018,21598,4517,24,24,312.03938936262983,4
1,8,2017,72986,12125,17,13,300.06954389571234,12
5,4,2017,54973,8669,7,12,165.9329340348063,1
6,4,2017,29848,12318,1,23,531.7747783797513,16
4,9,2018,17841,15881,3,10,311.42937813320424,9
6,12,2017,21517,18129,8,3,974.4805243656779,9
0,1,2018,37856,10285,13,25,367.8928723897253,13
6,6,2018,72492,17935,18,21,532.739022429925,13
1,1,2017,78696,8017,15,21,366.1455048317553,7
6,8,2018,74013,3128,27,8,45.231090095231885,11
5,11,2017,98679,1326,9,7,853.9620043518822,13
1,3,2018,98098,14542,4,27,444.40246806095195,16
5,2,2017,98283,9447,19,1,65.01776709410083,9
0,9,2018,71733,4306,6,24,401.9791340613411,9
5,9,2018,16709,8835,26,11,815.1811625018545,13
0,1,2017,54932,9626,14,11,208.56453867072116,1
2,11,2017,25712,19411,10,8,478.43200347972675,9
0,3,2018,12393,2946,10,15,391.7087307579453,8
1,10,2018,17727,19670,23,24,937.3754245490335,11
1,12,2018,65493,2931,22,20,284.259155595549,5
3,8,2018,43777,13608,13,27,419.36479771265397,12
4,10,2017,13618,9370,1,19,855.8362615360026,16
2,11,2018,63588,9208,15,9,326.2465688878362,8
4,1,2017,24156,10640,17,2,390.97415357670974,8
1,12,2017,40866,583,6,18,525.5552435110492,16
3,2,2018,82036,3748,9,3,331.58503098520055,12
5,1,2018,25631,16005,9,6,26.81622271319774,4
4,6,2017,30333,1777,20,9,424.5059732802189,11
5,7,2018,57779,221,11,19,198.23410203259147,8
4,12,2017,74369,17836,1,6,864.0758084413957,11
6,8,2017,38084,9702,24,7,826.1132676988565,19
3,6,2017,55305,16977,23,5,816.9345899479815,15
6,5,2018,93521,9287,26,12,358.7586813242519,12
0,3,2017,75266,11368,18,12,821.98140508592,11
4,6,2018,25653,11389,3,23,32.141932658794175,9
4,9,2017,18309,19748,15,10,488.53661880860955,7
0,12,2018,70528,13996,18,20,664.4985972773349,4
4,10,2018,4908,5946,13,8,884.292602377329,18
0,2,2017,85396,7680,22,8,457.1168865222986,8
5,2,2017,34387,5372,13,15,564.5311686090394,8
6,7,2017,33270,1879,12,23,702.4631603559743,10
1,12,2017,82126,15036,21,6,149.811892743448,9
2,4,2017,83772,10159,27,15,303.6425921304389,8
4,4,2017,1358,4880,3,9,754.291950938816,5
2,9,2018,48372,6886,3,9,881.1811649701153,9
1,2,2017,78274,18792,17,2,743.0205268412137,12
5,6,2017,78887,19328,11,23,640.211566322137,14
1,8,2018,17467,7681,9,6,62.19399352437007,7
0,11,2017,87234,321,14,7,757.9060239667328,12
4,8,2017,6717,9776,13,18,711.0077083260766,8
4,11,2018,11783,14262,24,9,431.0682643763209,14
6,1,2018,97599,4038,24,14,802.2919304958756,15
2,9,2018,77505,17639,10,6,570.4096692518141,8
3,7,2018,83723,2963,21,14,931.6070056139398,14
6,1,2018,56332,2046,22,21,870.4424457436317,18
5,11,2018,46788,4053,6,2,945.3633034728824,10
5,7,2018,80210,6353,7,11,247.2161653093263,7
2,10,2017,21714,12499,8,14,407.73980098069484,4
4,9,2017,83242,13873,15,23,677.2912645997128,14
3,2,2018,453,10624,20,13,860.4721432144113,9
6,2,2017,76308,6019,3,16,680.2409390856234,20
4,12,2018,73493,5190,23,3,511.301461425826,8
2,6,2018,90042,16531,22,5,213.9976928400999,12
5,9,2018,81721,4968,18,2,998.8253602269783,14
3,1,2017,13618,12206,14,15,836.5519872546926,11
4,8,2017,94676,14898,16,20,558.207000353135,7
2,6,2017,12249,16597,18,19,982.7508438331796,7
4,8,2017,81350,1774,26,26,213.08260928798072,10
0,12,2017,4144,11964,5,21,373.4730109757822,9
2,9,2018,58327,10028,9,25,214.81691171444436,20
4,5,2017,26482,1287,7,27,438.4971730700752,20
5,9,2017,90088,7014,21,21,652.5088407370973,7
2,6,2017,97992,17687,11,21,369.54095648361636,8
1,6,2018,14986,16951,27,4,661.4878787056971,11
4,7,2017,83612,13807,27,19,361.13620426408374,12
1,11,2018,83987,14562,2,21,898.9011458193016,16
3,7,2017,31262,12439,13,16,25.707242710816125,11
1,7,2017,129,10060,14,11,380.8549324037027,6
4,11,2017,54212,2298,7,13,382.60923944046823,7
0,12,2017,41050,15831,16,12,819.7039216263088,6
2,10,2017,33100,15376,16,8,497.0285074564116,6
2,10,2018,95573,17803,13,26,232.84609203730622,11
2,5,2017,65745,10024,18,7,222.07975679927864,4
6,1,2018,49572,5819,14,21,657.2526125262895,12
0,12,2017,613,14237,9,19,30.249063285171914,9
5,8,2018,79421,6233,24,22,321.02695731219126,12
6,2,2018,35610,14648,15,24,637.3196040358331,13
4,2,2018,10404,11383,5,4,694.0490139099799,12
4,11,2018,5024,6242,21,9,729.8548659852293,19
4,8,2018,43374,19333,3,5,972.5388354320784,13
6,7,2018,17113,17343,24,13,168.26086613112201,13
3,4,2017,86396,10670,20,14,191.21860930550466,4
4,8,2018,65951,2918,11,20,168.97245998995044,10
3,8,2018,60894,17629,8,12,503.2894525319826,12
2,11,2017,80859,10223,24,1,193.37922241097033,13
4,4,2017,53338,5803,3,19,281.9690596936543,14
4,6,2018,65875,18347,20,18,955.4286849498965,11
2,11,2017,41390,19878,10,18,258.90128210752493,7
3,4,2018,31610,12947,9,4,70.3658275792047,5
5,4,2017,8349,8363,7,20,836.7311188086409,8
2,8,2017,12902,3651,4,3,188.16973411869435,5
5,2,2018,334,6345,18,10,288.7367593194389,11
5,9,2018,66835,15075,24,27,353.0088964648469,15
6,10,2018,25140,7259,27,21,651.4301484304622,10
3,9,2017,62941,4496,11,3,786.3655189729294,9
3,10,2018,37230,10217,13,7,270.43069603999163,7
0,1,2018,17434,337,23,9,999.5705590866636,9
0,5,2018,53531,3141,27,14,508.3600082911879,12
3,4,2017,96691,11416,25,26,83.47140900708554,9
4,11,2017,18663,17088,2,4,76.4256459860307,9
5,5,2017,55680,522,26,19,398.5912004830767,10
0,11,2017,21610,2762,16,13,314.39341513949233,6
1,11,2018,55757,11251,9,23,328.2151589162925,10
